Name;Description;A feeling;B feeling;Type;;;;
uplift;arms stretched to front, palms up, raising arms up;inspired+;;iconic, metaphoric;;;;
push down;arms stretched to front, palms down, lowering arms down;disappointed+;disrespected+, supported--;iconic, metaphoric;;;;
repel;hands before chest, palms to front, arms stretching to front;repelled+,disrespected+;repelled+++,disrespected++;iconic, metaphoric;;;;
beckon;arms stretched to front, palms to back, arms moving hands back;attracted++;;iconic, metaphoric;;;;
almost clap;arms open, hands towards each other, joining hands in front of chest;inspired+;;iconic, metaphoric, cohesive;;;;
divide;hands joined in front of chest, arms moving out, opening hands to sides;disappointed+;;iconic, metaphoric, cohesive;;;;
mute clap;hands in front of chest at distance, hands quickly joining together, mute clap;inspired+;supported++;iconic, metaphoric, cohesive, beats;;;;
put in;one arm forms horizontal hole in front of chest, other arm reaches in;attracted+;;iconic, metaphoric;;;;
take out;one arm forms horizontal hole in front of chest, other arm reaches out from it;;supported+;iconic, metaphoric;;;;
stir;one hand moves horizontally in circles in front of chest, palm open down;;supported+;iconic, metaphoric;;;;
tumble;both hands circle around each other in front of chest;inspired+;;iconic, metaphoric, cohesive;;;;
triple skip;one hand moves horizontally with two horizontal bumps to three points;;inspired+;iconic, metaphoric, beats;;;;
half clap;both arms frontal, one hand moves to the other, other hand is static;attracted+;;iconic, metaphoric;;;;
half unclap;both arms frontal, hands joined, one hand moves away, other hand is static;repelled+;;iconic, metaphoric;;;;
folded arms look away;arms closing in front of chest, head turned away and up;disappointed++,disrepected++;repelled+;iconic, metaphoric;;;;
face palm;one hand in front of face, palms open, other arm stretched out, hands and head wiggle;repelled+++;disrespected++;iconic, metaphoric;;;;
shifty take;head moving left-right twice, arm holding in front of chest, other arm reaching and taking;;disrespected++, supported--;iconic, metaphoric;;;;
throat slice;hand moves horizontally in front of throat, then slouching of torso, head and arms;attacked++;;iconic, metaphoric;;;;
throat slice threaten;hand moves horizontally in front of throat, then slouching of torso, head and arms;;attacked+, disrespected++;iconic, metaphoric;;;;
approval;one hand on hip, other arm directed to front, head nodding, front hand moving back,forth;;supported+, respected+;iconic, metaphoric, deictic;;;;
repeated beckon;both arms stretching to front, repeatedly hands reaching out and in;attracted++;;iconic, metaphoric, cohesive;;;;
boxing;both arms raised to shoulder height, hands to fists, boxing moves;disrespected+;attacked++;iconic, metaphoric;;;;
eating;raising both hands towards mouth, moving hands towards front;attracted+;;iconic, metaphoric;;;;
reject;head turns away and up, one hand moves diagonally from opposing shoulder downwards;disappointed++,repelled+++;disrespected+;iconic, metaphoric, beats;;;;
hunger;head downwards, one hand moves in circles in front of belly;disappointed+;;iconic, metaphoric;;;;
singing;one hand closed in front of mouth, head and torso moving rhythmically, other arm reaches out;inspired++;;iconic, metaphoric;;;;
painting;head looking at hand and away from hand holding something, other hand does horizontal circles;inspired++;;iconic, metaphoric;;;;
bended knee;bending down on one knee, one arm and head raising upwards;inspired+++;respected++;iconic, metaphoric;;;;
cross;one hand drawing cross in front of chest;inspired+++;respected++;iconic, metaphoric;;;;
point straight;one arm stretched out to front with flat palm down;disrespected+, disappointed+;;deictic;;;;
chopping;raising one arm above shoulder, chopping it vertically, with head nodding;disappointed+;disrespected++, attacked+;iconic, metaphoric, beats;;;;
giving up;shaking lowered head, bent knees, arms stretched to front;attacked++, disappointed++;respected++;iconic, metaphoric;;;;
