Action;Similar;Opposite;A feeling;B feeling
are_trusted_by;trust, are_respected_by, are_admired_by;are_distrusted_by;respected+;
are_disrespected_by;are_mocked_by, are_taunted_by, are_insulted_by, are_bitten_by, are_despised_by;are_respected_by;disrespected++;inspired-
condescend_to;mock, taunt, laugh_at, are_unimpressed_with, are_unimpressed_by, underestimate, humiliate,  preach_to, tower_over, overshadow, criticize;look_up_to;inspired--;disrespected+
are_deceived_by;are_tricked_by, are_defrauded_by, are_cheated_by;are_informed_by;disrespected+, supported-;
disappoint;fail_to_deliver_for, fail_to_impress, are_judged_by, lose_favor_with, disillusion;impress;disrespected+;disappointed+++, supported-
fall_in_love_with;are_moved_by, are_attracted_by, are_lured_by, are_enticed_by, woo, are_seduced_by, marry, love;hate;attracted+++;
are_feared_by;terrorize, tower_over, intimidate, threaten;are_loved_by;respected+;repelled++
are_impressed_by;are_impressed_with, look_up_to;are_unimpressed_by, are_unimpressed_with;inspired++;
are_impressed_with;are_impressed_by, look_up_to;are_unimpressed_by, are_unimpressed_with;inspired++;
are_pushed_too_far_by;lose_faith_in, are_sickened_by, are_disillusioned_by, are_frustrated_by, are_abused_by, are_driven_mad_by, are_overworked_by, are_tormented_by, harden_toward, are_underpaid_by, are_disappointed_by, are_enslaved_by;are_facilitated_by, are_appreciated_by;repelled+;
steal_from;rob, take_advantage_of, borrow_from, defraud, cheat;buy_from, borrow_from;;disrespected+, disappointed++
are_bored_by;are_disillusioned_by, are_disappointed_by, lose_interest_in, are_bored_with, tune_out, are_unimpressed_with, ignore;are_intrigued_by;repelled+;disrespected+
are_worshipped_by;tower_over, are_followed_by, are_supported_by, lead, are_venerated_by, are_admired_by, are_respected_by, are_obeyed_by, are_loved_by;are_humiliated_by, are_feared_by, are_despised_by;respected+++;inspired+++
are_exploited_by;are_defrauded_by, grow_suspicious_of, are_frustrated_by, are_abused_by, are_misrepresented_by, are_underpaid_by, are_cheated_by, are_manipulated_by, are_overworked_by, are_blackmailed_by, are_enslaved_by, are_mistreated_by, are_tormented_by, are_refused_payment_by, are_robbed_by, are_used_by, are_victimized_by;are_facilitated_by, are_appreciated_by;disrespected++, supported-;
fail_to_deliver_for;disappoint, fail_to_impress, lose_favor_with, are_booed_by, disillusion,  cause_trouble_for;impress;;disappointed+++
kill;assassinate, murder, execute, decapitate, sacrifice, blow_up, conquer, are_arrested_for_killing, destroy;rescue, save, nurture, protect;;attacked+++
are_ignored_by;are_spurned_by, are_humiliated_by, are_silenced_by, are_rebuffed_by, are_underappreciated_by, are_forgotten_by, are_disobeyed_by, are_overlooked_by, are_overshadowed_by;are_welcomed_by, are_appreciated_by, attract;disrespected++;
spread_lies_about;misrepresent, campaign_against, brief_against, laugh_at, undermine, joke_about;testify_for, campaign_for;disappointed+;disrespected++
are_underpaid_by;are_exploited_by, are_abused_by, are_overworked_by, are_pushed_too_far_by;are_promoted_by, are_appreciated_by, are_rewarded_by, are_favored_by;disappointed+;disrespected++
beg_forgiveness_from;beg_forgiveness_from, seek_forgiveness_from, seek_sympathy_from;ignore, stand_up_to;;attacked-, respected+
cede_power_to;surrender_to, are_ruined_by, bow_down_to, are_toppled_by, are_supplanted_by, are_deposed_by, lose_to, are_conquered_by, are_overthrown_by, are_overrun_by, are_overwhelmed_by;overthrow, topple, stand_up_to, resist;;attacked--
underestimate;are_unimpressed_by, laugh_at, condescend_to;fear, are_challenged_by, are_frustrated_by, are_overwhelmed_by;;disrespected+
are_betrayed_by;are_abandoned_by, are_supplanted_by, are_ruined_by, are_deposed_by, are_toppled_by, are_tormented_by, are_bitten_by;are_supported_by, are_facilitated_by;repelled++, supported---, disappointed+++;inspired---
are_disgusted_by;are_shocked_by, are_sickened_by, are_traumatized_by, lose_faith_in;love, admire, are_impressed_by;repelled+++;
are_cheated_by;are_exploited_by, are_tricked_by, are_manipulated_by, are_deceived_by, are_robbed_by, are_victimized_by, are_defrauded_by, are_refused_payment_by;are_repaid_by;repelled++, supported--, disappointed++;
are_humiliated_by;are_silenced_by, are_ignored_by, are_embarrassed_by, are_taunted_by, are_mocked_by, are_tormented_by, are_beaten_by, are_punished_by, are_rebuked_by, are_victimized_by;are_flattered_by, are_complimented_by;supported---, attacked+;
are_lectured_by;are_instructed_by, learn_from, study_under, are_indoctrinated_by, are_educated_by, are_coached_by;lecture_to;disrespected+;
are_respected_by;are_admired_by, are_worshipped_by, are_venerated_by, are_trusted_by;are_disrespected_by, are_despised_by;respected++;
are_sued_by;are_attacked_by, are_undermined_by, are_criticized_by, are_accused_by, are_reported_by, are_charged_by, are_prosecuted_by;;attacked+, supported--;
seek_forgiveness_from;beg_forgiveness_from, confess_to;ignore;;attacked-, respected+
manipulate;defraud, exploit, deceive, abuse, take_advantage_of, trick, coerce, lead_astray, blackmail, misrepresent, cheat, control, experiment_on, brainwash, fool;are_manipulated_by;;disrespected+
turn_against;compete_against, break_with, turn_against, betray, rise_against, rebel_against, stand_up_to, resist, snitch_on;bow_down_to, show_loyalty_to, die_for;inspired-, disappointed++;attacked++
are_bought_off_by;are_corrupted_by, are_funded_by, are_financed_by, are_enslaved_by, are_recruited_by, are_enlisted_by, are_persuaded_by;stand_up_to, harden_toward;disrespected+, supported+;
are_upstaged_by;are_supplanted_by, are_toppled_by, are_embarrassed_by;upstage, are_supported_by, overshadow;disrespected++;inspired-
testify_against;brief_against, campaign_against, accuse, denounce, condemn, run_against, snitch_on, vote_against;testify_for;disappointed++;attacked+, supported-
are_unimpressed_by;condescend_to, are_unimpressed_with, underestimate, are_disappointed_by, are_failed_by;are_impressed_by, are_impressed_with;inspired--;respected-, disrespected+
are_moved_by;are_radicalized_by, sympathize_with, agree_with, pity, are_persuaded_by, feel_sorry_for, identify_with;ignore;attracted+;
are_denounced_by;are_ruined_by, are_abandoned_by, are_criticized_by, are_attacked_by, are_insulted_by, are_cursed_by, are_accused_by, alienate;denounce, are_flattered_by, are_complimented_by, are_popularized_by;disrespected+++, supported--;inspired--
are_seduced_by;are_charmed_by, are_attracted_by, are_persuaded_by, are_flattered_by, are_deflowered_by, are_enticed_by, are_brainwashed_by, are_enchanted_by, are_wooed_by, are_lured_by;are_disgusted_by;attracted++, inspired+;attracted+
lead_astray;corrupt, manipulate, deceive, entice, indoctrinate, lie_to, brainwash, fool;inspire, guide;respected+;inspired+
are_insulted_by;are_persecuted_by, are_taunted_by, are_attacked_by, are_criticized_by, are_mocked_by, are_savaged_by, are_cursed_by, are_tormented_by, are_disrespected_by, are_denounced_by, are_despised_by, are_chastised_by, are_heckled_by, are_scolded_by, are_booed_by, are_offended_by, are_rebuked_by;are_flattered_by;attacked+, disrespected++;inspired--
are_blackmailed_by;are_manipulated_by, are_controlled_by, are_scripted_by, are_intimidated_by, are_threatened_by, are_bullied_by, are_bitten_by, are_exploited_by;are_informed_by;attacked+, disrespected+;
are_beaten_by;are_defeated_by, are_punished_by, are_humiliated_by, are_assaulted_by, are_bitten_by, are_conquered_by, are_hurt_by, are_whipped_by, are_supplanted_by, are_deposed_by, lose_to, are_overthrown_by;are_spoiled_by, are_cared_for_by;attacked++;
are_corrupted_by;are_bought_off_by, are_ruined_by, are_sickened_by, are_manipulated_by;are_inspired_by;disrespected+, supported--, attracted+;respected++
are_underappreciated_by;are_ignored_by, are_underestimated_by, are_overworked_by, fail_to_impress, are_resented_by, are_overlooked_by, are_overshadowed_by, are_refused_payment_by;are_appreciated_by;disrespected+;
indoctrinate;command, brainwash, lead_astray, convert, coerce, lead, guide, influence;learn_from, study_under, lose_control_over;respected++;inspired++
impress;inspire, tower_over, rouse, please, overshadow;fail_to_impress, fail_to_deliver_for;respected+;inspired++
lie_to;lead_astray, deceive, trick, defraud, cheat, cheat_on, fool;report_to, confide_in;;disrespected+, disappointed+
show_loyalty_to;look_up_to, bow_down_to, identify_with, support, die_for, fight_for, commit_to, love;betray, cheat_on;inspired+;respected++
stand_up_to;resist, rebel_against, turn_against, lose_faith_in, denounce, rise_against, fight_against,  compete_against, brief_against, struggle_against, challenge;bow_down_to, fear, run_away_from;inspired--;disrespected++
are_attacked_by;are_criticized_by, are_tormented_by, are_assaulted_by, are_persecuted_by, are_bitten_by, are_sued_by, are_denounced_by, are_insulted_by, are_disfigured_by, are_savaged_by, are_fought_by, are_targeted_by, are_victimized_by;are_supported_by, are_facilitated_by;attacked++;
are_obeyed_by;are_supported_by, are_served_by, are_worshipped_by, control;are_disobeyed_by, lose_control_over;respected++;
are_pursued_by;elude, are_chased_by, are_hunted_by, flee_from, are_stalked_by, are_sought_by, are_tracked_by, are_wooed_by, are_wanted_by;are_ignored_by, are_banished_by, are_rebuffed_by;repelled+;attracted++
are_rebuffed_by;are_spurned_by, are_rejected_by, are_abandoned_by, are_ignored_by;attract, are_pursued_by;disrespected++;repelled++
attack;assault, blow_up, fight, devour, insult, criticize, disfigure, destroy, beat_up, hit;support, agree_with;;attacked++
disagree_with;debate, argue_with, are_contradicted_by, debate_with, struggle_with;agree_with, are_persuaded_by;inspired-;disrespected+
identify_with;are_moved_by, agree_with, sympathize_with, show_loyalty_to;are_sickened_by, harden_toward;inspired+;respected+
sleep_with;cheat_with, are_deflowered_by, are_enticed_by, are_kissed_by, consort_with, mate_with;are_ignored_by, are_spurned_by;attracted++;attracted++
are_inspired_by;read_the_works_of, look_up_to, are_roused_by, are_motivated_by, are_energized_by, imitate, are_influenced_by, are_driven_by, worship, believe_in, follow;lose_faith_in, grow_suspicious_of, are_bored_by, are_disillusioned_by;inspired++;
are_manipulated_by;are_exploited_by, are_blackmailed_by, are_controlled_by, are_tricked_by, are_cheated_by, are_corrupted_by, are_defrauded_by, are_tormented_by, are_used_by, are_victimized_by, pose_for;are_helped_by;disrespected+;
