Action	Normative Form	A - Emotional Reaction	B - Emotional Reaction
are_trusted_by	B trusted A 	2	1
are_disrespected_by	B disrespected A	-4	0
condescend_to	A condescended to B	0	-3
are_deceived_by	B deceived A	-3	0
disappoint	A disappointed B	0	-3
fall_in_love_with	A fell in love with B	4	0
are_feared_by	B feared A	0	-4
are_impressed_by	B impressed A	3	0
are_impressed_with	A was impressed with B	3	0
are_pushed_too_far_by	B pushed too hard on A	-2	0
steal_from	A stole from B	0	-3
are_bored_by	B bored A	-2	0
are_worshipped_by	B worshipped A	4	2
are_exploited_by	B exploited A	-4	0
fail_to_deliver_for	A failed to deliver for B	-2	-3
kill	A killed B	0	-5
are_ignored_by	B ignored A	-3	0
spread_lies_about	A spread lies about B	0	-3
are_underpaid_by	B underpaid A	-3	0
beg_forgiveness_from	A begged forgiveness from B	1	2
cede_power_to	A ceded power to B	1	3
underestimate	A underestimated B	0	-2
are_betrayed_by	B betrayed A	-4	0
are_disgusted_by	B disgusted A	-4	0
are_cheated_by	B cheated A	-4	0
are_humiliated_by	B humiliated A	-5	0
are_lectured_by	B lectured A	0	0
are_respected_by	B respected A	3	0
are_sued_by	B sued A	-3	0
seek_forgiveness_from	A sought forgiveness from B	1	2
manipulate	A manipulated B	0	-1
turn_against	A turned against B	-3	-4
are_bought_off_by	B bought off A	2	0
are_upstaged_by	B upstaged A	-3	0
testify_against	A testified against B	0	-3
are_unimpressed_by	B unimpressed A	-1	0
are_moved_by	B moved A	0	4
are_denounced_by	B denounced A	-4	0
are_seduced_by	B seduced A	2	0
lead_astray	A misled B 	0	-3
are_insulted_by	B insulted A	-4	0
are_blackmailed_by	B blackmailed A	-4	0
are_beaten_by	B beat A	-5	-2
are_corrupted_by	B corrupted A	-4	-2
are_underappreciated_by	B underappreciated A	-3	0
indoctrinate	A indoctrinated B	0	-2
impress	A impressed B	3	4
lie_to	A lied to B	0	-2
show_loyalty_to	A showed loyalty to B	3	3
stand_up_to	A stood up to B	0	-3
are_attacked_by	B attacked A	-5	-2
are_obeyed_by	B obeyed A	3	0
are_pursued_by	B pursued A	-2	0
are_rebuffed_by	B rebuffed A	-4	-2
attack	A attacked B	-2	-5
disagree_with	A disagreed with B	-2	-3
identify_with	A identified with B	2	3
sleep_with	A slept with B	4	4
are_inspired_by	B inspired A	4	3
are_manipulated_by	B manipulated A	-1	0
are_threatened_by	B threatened A	-4	-3
campaign_against	A campaigned against B	-2	-3
inspire	A inspired B	3	4
are_disillusioned_by	B disillusioned A	-3	0
are_mocked_by	B mocked A	-4	0
are_shocked_by	B shocked A	-5	0
insult	A insulted B	0	-4
spy_on	A spied on B	0	-3
are_rewarded_by	B rewarded A	4	2
trust	A trusted B	1	2
are_abandoned_by	B abandoned A	-4	0
are_flattered_by	B flattered A	4	2
blackmail	A blackmailed B	0	-4
lick_up_to	A licked up to B	2	3
sue	A sued B	0	-3
are_dumped_by	B dumped A	-4	0
are_resisted_by	B resisted A	2	-2
deceive	A deceived B	0	-3
humiliate	A humiliated B	0	-5
kiss_up_to	A kissed up to B	3	4
lay_a_trap_for	A laid a trap for B	0	-4
profit_from	A profited from B	2	-2
are_arrested_for_killing	A was arrested for killing B	-3	-5
are_bitten_by	B bit A	-4	0
are_despised_by	B despised A	-3	-4
are_favored_by	B favored A	4	3
are_misrepresented_by	B misrepresented A	-3	0
learn_from	A learned much from B	4	2
marry	A married B	5	5
settle_with	A reached a settlement with B	3	3
are_haunted_by	B haunted A	-4	0
are_spurned_by	B spurned A	-4	-2
argue_with	A argued with B	-1	-1
criticize	A criticized B	-1	-2
dump	A dumped B	0	-4
run_away_from	A ran away from B	-2	-3
surrender_to	A surrendered to B	-2	2
alienate	A alienated B	0	-3
are_arrested_for_hurting	A was arrested for hurting B	-3	-4
fail_to_impress	A failed to impress B	-2	-2
threaten	A threatened B	-3	-4
are_fired_by	B fired A	-4	-1
bow_down_to	A bowed down to B	1	3
curry_favor_with	A curried favor with B	0	2
disgust	A disgusted B	0	-4
listen_to	A listened to B	0	2
lose_faith_in	A lost faith in B	-3	-2
