action	UP	DOWN	FRONT	BACK	CENTER	PERIPHERY	CONTACT	IN	OUT	SURFACE	CYCLE	S-P-G	NEAR	FAR	explained schema
are_trusted_by,trust,believe_in,confide_in,rely_on								1							put trust in someone
are_disrespected_by,disrespect,are_offended_by,offend					-1	1									push someone away from you
condescend_to	-1	1													look down on someone
are_deceived_by,deceive										1					keep along surface
disappoint,are_disappointed_by,lose_faith_in													-1	1	turing away from someone, letting down
fall_in_love_with								1							falling into love
are_feared_by,fear			-1	1											backing off from someone
are_impressed_by,impress	1														looking up to someone
are_pushed_too_far_by													-1	1	pushing far
steal_from,rob,are_robbed_by												1			take something from someone
are_bored_by,are_bored_with	-1	1													being let down
pray_to,pray_with,preach_to,pray_for,worship_with,worship,are_worshipped_by	1														look up to
fail_to_deliver_for												1			bring form one place to another
are_exploited_by,exploit,are_abused_by,abuse,prey_on,coerce								-1	1						taking everything out of a person
kill,are_killed_by,execute,kill_for,murder	-1	1													take someone down
are_ignored_by,ignore,tune_out			1												push away incoming information
spread_lies_about					-1	1									spreading from centre to periph.
beg_forgiveness_from,are_begged_by,seek_forgiveness_from	1														look up to
underestimate,are_underestimated_by	-1	1													above expectations
cede_power_to												1			giving power from one to another
are_underpaid_by	-1	1													paid below a standard
are_disgusted_by,disgust			-1	1											backing off
are_betrayed_by,betray													-1	1	from close to far
are_lectured_by,lecture_to,learn_from,coach,are_coached_by,teach,are_taught_by,are_mentored_by,mentor,are_tutored_by,educate,are_educated_by,instruct,are_instructed_by,learn_with,study_under													1		bring knowledge closer
are_humiliated_by,humiliate,are_denounced_by,denounce,are_taunted_by,taunt,laugh_at	-1	1													look down on
are_respected_by,respect	1														look up to
are_sued_by,sue,countersue	1														raise an accusation
turn_against,lose_favor_with,break_with,let_go_of													-1	1	turn away from
are_upstaged_by,upstage			1												to put in front of someone
are_unimpressed_by,are_unimpressed_with,fail_to_impress			-1	1											draw back attention
are_moved_by,feel_sorry_for							1								be touched by
lead_astray													-1	1	send someone far from his goal
are_seduced_by,seduce,are_lured_by													1		to draw near
are_insulted_by,insult,mock,are_mocked_by	-1	1													treat from above
are_blackmailed_by,blackmail			-1	1											attacking from back
are_beaten_by							1								strong physical / mental contact
are_corrupted_by,corrupt,are_ruined_by											1				negative process
are_underappreciated_by	-1	1													above expectations
stand_up_to	1														up to
lie_to										1					keep someone on the surface
show_loyalty_to													1		to locate oneself close to someone
are_attacked_by,attack,are_assaulted_by,assault							1								strong physical / mental contact
disagree_with,confer_with,are_contradicted_by					-1	1									to diverge from one point
sleep_with,mate_with							1								strong physical / mental contact
are_rebuffed_by,rebuff			1												frontal push away
identify_with								1							take values from inside / outside
are_pursued_by,pursue,are_stalked_by,stalk												1			follow along multiple steps
are_obeyed_by,obey	1														look up to 
are_inspired_by,inspire	1														look up to 
are_manipulated_by,manipulate,are_brainwashed_by,brainwash,abet,are_influenced_by,influence,indoctrinate,are_indoctrinated_by											1				negative process
campaign_against							1								against
are_shocked_by			-1	1											backing off
spy_on										1					observe 
are_disillusioned_by,disillusion					1										break into the centre of something
are_rewarded_by,reward								1							take in, collect a reward
are_abandoned_by,abandon													-1	1	go far away
lick_up_to	1														up
are_flattered_by,flatter	1														look up to
kiss_up_to,are_kissed_by							1								strong physical / mental contact
