gesture	time	strong	moderate 	weak
animations/Stand/BodyTalk/Listening/Listening_2	5.455447197	stand_up_to,are_energized_by 	guard,defend,protect,overshadow,debate,debate_with,argue_with,*are_guarded_by,*are_defended_by,*are_protected_by,*are_shielded_by,*are_overshadowed_by,*are_debated_by	condescend_to
animations/Stand/BodyTalk/Listening/ListeningLeft_1	4.725594044	model_for,pose_for	resist,*are_resisted_by	
animations/Stand/BodyTalk/Listening/ListeningRight_3	6.234023094		surrender_to 	confess_to 
animations/Stand/BodyTalk/Listening/ListeningRight_1	3.946917772	model_for,pose_for	resist,*are_resisted_by	
animations/Stand/BodyTalk/Listening/ListeningLeft_3	4.625261068		surrender_to 	confess_to 
animations/Stand/BodyTalk/Thinking/Remember_3	1.540712118	pick,select,*are_picked_by,*are_selected_by	condemn,remember,recall	
animations/Stand/BodyTalk/Thinking/Remember_2	1.661787987	deliver_for,deliver_to	send,build_for,pick_up,carry_for	
animations/Stand/BodyTalk/Thinking/Remember_1	1.60609293		dispatch, pick, select,*are_dispatched_by,*are_picked_by,*are_selected_by	steal_from,rob,*are_robbed_by
animations/Stand/BodyTalk/Speaking/BodyTalk_19	2.852967024			reach_out_to,sell_to,*buy_from,sell_through,sell_via
animations/Stand/BodyTalk/Speaking/BodyTalk_17	1.865433931	surrender_to,resemble	are_defeated_by,*defeat,lose_to, are_released_by,*release,break_free_of,*free,are_freed_by,*cast_off	
animations/Stand/BodyTalk/Speaking/BodyTalk_22	2.321147919			vote_for 
animations/Stand/BodyTalk/Speaking/BodyTalk_12	3.126847029		lose_control_over 	refuse_to_pay,*are_refused_payment_by,withold_payment_from,withhold_payment_from
animations/Stand/BodyTalk/Speaking/BodyTalk_4	2.167912006	beautify,enhance,admire,*are_admired_by,charm,*are_charmed_by,sing_with	*are_judged_by,talk_through,act_via,resemble,praise	create_for 
animations/Stand/BodyTalk/Speaking/BodyTalk_18	3.434212208	silence,*are_silenced_by,undermine,*are_undermined_by,refuse_to_pay,*are_refused_payment_by,withold_payment_from,withhold_payment_from,appease	are_disappointed_by,*disappoint,lose_faith_in,are_pushed_too_far_by,lay_a_trap_for	
animations/Stand/BodyTalk/Speaking/BodyTalk_9	2.377050877			operate_on,propose_to
animations/Stand/BodyTalk/Speaking/BodyTalk_10	2.339206934			consort_with 
animations/Stand/BodyTalk/Speaking/BodyTalk_15	2.420405865	steal_from,rob,*are_robbed_by,*are_snatched_by,snatch,catch,*are_caught_by,capture,*are_captured_by		
animations/Stand/BodyTalk/Speaking/BodyTalk_6	1.492846012	deliver_to,deliver_for,export_from,*borrow_from,lend_to,deploy,*are_deployed_by,*are_fielded_by	carry_for,translate_for	fail_to_deliver_for
animations/Stand/BodyTalk/Speaking/BodyTalk_13	1.152378082	disrespect,*are_disrespected_by,offend,*are_offended_by,insult,*are_insulted_by,mock,*are_mocked_by		
animations/Stand/BodyTalk/Speaking/BodyTalk_21	2.852624893	unleash	give_birth_to,receive,*are_received_by,pitch_at 	cater_to,cede_power_to,spread_lies_about
animations/Stand/BodyTalk/Speaking/BodyTalk_5	2.012665033	enlist,*are_enlisted_by	*are_lectured_by,lecture_to,coach,*are_coached_by,teach,*are_taught_by,mentor,*are_mentored_by,*are_tutored_by,educate,*are_educated_by,instruct,*are_instructed_by,*study_under,evaluate,evaluate_with,*are_evaluated_by	
animations/Stand/BodyTalk/Speaking/BodyTalk_11	3.197165966		compose_with	convert,*are_converted_by
animations/Stand/BodyTalk/Speaking/BodyTalk_1	2.433320045	consult,consult_with,persuade,*are_persuaded_by,advise,*are_advised_by,counsel,*are_counseled_by,*are_counselled_by	*are_probed_by,consort_with	negotiate_with,negotiate_for
animations/Stand/BodyTalk/Speaking/BodyTalk_14	2.114847898			interpret_for,interact_with
animations/Stand/BodyTalk/Speaking/BodyTalk_8	1.828917027		pick_up	*are_hardened_by,harden_toward
animations/Stand/BodyTalk/Speaking/BodyTalk_2	2.317667961		perform_for,perform_with,create_for,unleash	
animations/Stand/BodyTalk/Speaking/BodyTalk_3	1.756840944		perform_for,perform_with,create_for,unleash	
animations/Stand/BodyTalk/Speaking/BodyTalk_20	2.561001062	carry_for 	deliver_to	
animations/Stand/Reactions/SeeSomething_5	7.367270947	search_for,look_for,*are_sought_by,seek,*are_tracked_by 	track_down,hunt,*are_hunted_by 	
animations/Stand/Reactions/LightShine_2	4.918115854	fear,*are_feared_by,are_disgusted_by,*disgust	are_shocked_by,are_haunted_by,*haunt,*terrorize,are_hurt_by,*hurt	blow_up 
animations/Stand/Reactions/SeeSomething_1	17.90327621	track_down 	*are_investigated_by,examine,are_examined_by	
animations/Stand/Reactions/TouchHead_3	3.288229942	are_manipulated_by,*manipulate,are_brainwashed_by,*brainwash,*abet,are_influenced_by,*influence,*indoctrinate,are_indoctrinated_by,are_traumatized_by		
animations/Stand/Reactions/SeeSomething_8	5.206896067		appease,delegate_to,watch_over,look_after,_supervise,*are_supervised_by,monitor,*are_monitored_by	
animations/Stand/Reactions/BumperRight_1	3.276921034		*are_overlooked_by,confess_to,are_disgusted_by,*disgust	
animations/Stand/Reactions/TouchHead_2	3.995671034	are_manipulated_by,*manipulate,are_brainwashed_by,*brainwash,*abet,are_influenced_by,*influence,*indoctrinate,are_indoctrinated_by,are_traumatized_by		
animations/Stand/Reactions/EthernetOff_1	5.730695009	show_loyalty_to	bow_down_to,confess_to,obey,*are_obeyed_by	are_disillusioned_by,*disillusion
animations/Stand/Reactions/SeeSomething_3	9.407363892	track_down 	*are_investigated_by,examine,are_examined_by	
animations/Stand/Reactions/LightShine_3	4.316397905		are_overlooked_by,are_frustrated_by	are_overwhelmed_by
animations/Stand/Reactions/SeeSomething_7	4.246856928	are_embarrassed_by,*embarrass	are_rebuffed_by,*rebuff,are_rebuked_by	
animations/Stand/Reactions/SeeSomething_4	6.390993118	are_enslaved_by,*enslave,are_imprisoned_by,*imprison,are_detained_by,*detain,*take_as_prisoner,*arrest,are_arrested_for_killing,are_arrested_for_hurting,are_ennobled_by	surrender_to,bow_down_to,are_evicted_by,*evict	
animations/Stand/Reactions/LightShine_1	7.577645063	fear,*are_feared_by,are_disgusted_by,*disgust	are_shocked_by,are_haunted_by,*haunt,*terrorize,are_hurt_by,*hurt	blow_up 
animations/Stand/Reactions/SeeColor_1	4.972965002	are_inspired_by,*inspire,grow_suspicious_of	are_impressed_by,*impress,examine,*are_investigated_by,*are_examined_by	
animations/Stand/Reactions/SeeSomething_6	3.141307116		*are_overlooked_by,confess_to,are_disgusted_by,*disgust	
animations/Stand/Reactions/BumperLeft_1	3.246583939		*are_overlooked_by,confess_to,are_disgusted_by,*disgust	
animations/Stand/Reactions/TouchHead_1	3.092010975	are_disappointed_by,*disappoint,disagree_with	*are_disqualified_by,disqualify	
animations/Stand/Reactions/Bumpers_1	3.550976992		*are_overlooked_by,confess_to,are_disgusted_by,*disgust	
animations/Stand/Reactions/ShakeBody_3	4.965138197		are_shocked_by,are_driven_mad_by,are_traumatized_by	are_impressed_by,*impress,alienate
animations/Stand/Reactions/EthernetOn_1	#N/A			are_traumatized_by,are_inspired_by,*inspire
animations/Stand/Reactions/SeeColor_2	5.440299034	are_inspired_by,*inspire,grow_suspicious_of	are_impressed_by,*impress,examine,*are_investigated_by,*are_examined_by	
animations/Stand/Reactions/Heat_2	5.270565987	are_defeated_by,*defeat,lose_to	are_exploited_by,*exploit,are_abused_by,*abuse,*prey_on,*coerce,are_humiliated_by,*humiliate,are_denounced_by,*denounce,are_taunted_by,*taunt,*laugh_at	are_overrun_by,are_traumatized_by
animations/Stand/Reactions/ShakeBody_2	6.768774986		mourn_for,are_overwhelmed_by	
animations/Stand/Reactions/SeeColor_3	4.51772809		steal_from,rob,*are_robbed_by	
animations/Stand/Reactions/Bumpers_3	3.50353694		*are_overlooked_by,confess_to,are_disgusted_by,*disgust	
animations/Stand/Reactions/LightShine_4	4.927451849	fear,*are_feared_by,are_disgusted_by,*disgust	are_shocked_by,are_haunted_by,*haunt,*terrorize,are_hurt_by,*hurt	blow_up 
animations/Stand/Reactions/ShakeBody_1	2.782225132	disagree_with,*are_contradicted_by	dislike,disqualify,*are_disqualified_by	
