action	A (***strong, **medium, *weak)	B (***strong, **medium, *weak)
stand_up_to	***animations/Stand/BodyTalk/Listening/Listening_2, **animations/Stand/Emotions/Positive/Proud_3, **animations/Stand/Gestures/YouKnowWhat_2	
are_energized_by	***animations/Stand/BodyTalk/Listening/Listening_2, ***animations/Stand/Emotions/Positive/Enthusiastic_1, **animations/Stand/Emotions/Positive/Proud_2, **animations/Stand/Emotions/Positive/Proud_1, **animations/Stand/Gestures/Enthusiastic_1, **animations/Stand/Gestures/Enthusiastic_5	
guard	**animations/Stand/BodyTalk/Listening/Listening_2, ***animations/Stand/Emotions/Positive/Sure_1, **animations/Stand/Gestures/Thinking_8, *animations/Stand/Gestures/YouKnowWhat_1, **animations/Stand/Gestures/YouKnowWhat_2	
defend	**animations/Stand/BodyTalk/Listening/Listening_2, ***animations/Stand/Emotions/Positive/Sure_1, **animations/Stand/Gestures/Thinking_8, *animations/Stand/Gestures/YouKnowWhat_1, **animations/Stand/Gestures/YouKnowWhat_2	
protect	**animations/Stand/BodyTalk/Listening/Listening_2, ***animations/Stand/Emotions/Positive/Sure_1, **animations/Stand/Gestures/Thinking_8, *animations/Stand/Gestures/YouKnowWhat_1, **animations/Stand/Gestures/YouKnowWhat_2	
overshadow	**animations/Stand/BodyTalk/Listening/Listening_2, ***animations/Stand/Gestures/Everything_1	
debate	**animations/Stand/BodyTalk/Listening/Listening_2, **animations/Stand/Emotions/Neutral/Stubborn_1, **animations/Stand/Gestures/Explain_4, ***animations/Stand/Gestures/Explain_3, *animations/Stand/Gestures/Explain_6, **animations/Stand/Gestures/This_4, **animations/Stand/Gestures/WhatSThis_11, *animations/Stand/Gestures/Enthusiastic_2, **animations/Stand/Gestures/This_8, **animations/Stand/Gestures/CountThree_1, **animations/Stand/Gestures/CountFour_1, *animations/Stand/Gestures/HeSays_1, *animations/Stand/Gestures/HeSays_3, *animations/Stand/Gestures/WhatSThis_8, *animations/Stand/Gestures/WhatSThis_10	
debate_with	**animations/Stand/BodyTalk/Listening/Listening_2, **animations/Stand/Emotions/Neutral/Stubborn_1, **animations/Stand/Gestures/Explain_8, **animations/Stand/Gestures/WhatSThis_14, **animations/Stand/Gestures/Explain_4, ***animations/Stand/Gestures/Explain_3, *animations/Stand/Gestures/Explain_6, **animations/Stand/Gestures/This_4, **animations/Stand/Gestures/WhatSThis_11, *animations/Stand/Gestures/Enthusiastic_2, *animations/Stand/Gestures/Enthusiastic_2, **animations/Stand/Gestures/This_8, **animations/Stand/Gestures/CountThree_1, **animations/Stand/Gestures/CountFour_1, *animations/Stand/Gestures/HeSays_1, *animations/Stand/Gestures/HeSays_3, *animations/Stand/Gestures/WhatSThis_8, *animations/Stand/Gestures/WhatSThis_10, *animations/Stand/Gestures/This_11, **animations/Stand/Gestures/Explain_5	
argue_with	**animations/Stand/BodyTalk/Listening/Listening_2, **animations/Stand/Emotions/Neutral/Stubborn_1, **animations/Stand/Gestures/Explain_8, **animations/Stand/Gestures/WhatSThis_14, **animations/Stand/Gestures/Explain_4, ***animations/Stand/Gestures/Explain_3, *animations/Stand/Gestures/Explain_6, **animations/Stand/Gestures/This_4, **animations/Stand/Gestures/WhatSThis_11, *animations/Stand/Gestures/Enthusiastic_2, **animations/Stand/Gestures/This_8, *animations/Stand/Gestures/Explain_2, ***animations/Stand/Gestures/CountThree_1, ***animations/Stand/Gestures/CountFour_1, *animations/Stand/Gestures/HeSays_1, *animations/Stand/Gestures/This_14, *animations/Stand/Gestures/Choice_2, *animations/Stand/Gestures/WhatSThis_8, *animations/Stand/Gestures/WhatSThis_10, *animations/Stand/Gestures/This_11, **animations/Stand/Gestures/Explain_5	
are_guarded_by		**animations/Stand/BodyTalk/Listening/Listening_2, ***animations/Stand/Emotions/Positive/Sure_1, **animations/Stand/Gestures/Thinking_8, *animations/Stand/Gestures/YouKnowWhat_1, **animations/Stand/Gestures/YouKnowWhat_2
