action	A (strong, medium, weak)	A (strong, medium, weak)
stand_up_to	animations/Stand/BodyTalk/Listening/Listening_2	animations/Stand/BodyTalk/Listening/Listening_2
are_energized_by	animations/Stand/BodyTalk/Listening/Listening_2, animations/Stand/Emotions/Positive/Enthusiastic_1, animations/Stand/Emotions/Positive/Proud_2, animations/Stand/Emotions/Positive/Proud_1	animations/Stand/BodyTalk/Listening/Listening_2, animations/Stand/Emotions/Positive/Enthusiastic_1, animations/Stand/Emotions/Positive/Proud_2, animations/Stand/Emotions/Positive/Proud_1
guard	animations/Stand/BodyTalk/Listening/Listening_2, animations/Stand/Gestures/YouKnowWhat_1	animations/Stand/BodyTalk/Listening/Listening_2, animations/Stand/Gestures/YouKnowWhat_1
defend	animations/Stand/BodyTalk/Listening/Listening_2, animations/Stand/Gestures/YouKnowWhat_1	animations/Stand/BodyTalk/Listening/Listening_2, animations/Stand/Gestures/YouKnowWhat_1
protect	animations/Stand/BodyTalk/Listening/Listening_2, animations/Stand/Gestures/YouKnowWhat_1	animations/Stand/BodyTalk/Listening/Listening_2, animations/Stand/Gestures/YouKnowWhat_1
overshadow	animations/Stand/BodyTalk/Listening/Listening_2	animations/Stand/BodyTalk/Listening/Listening_2
debate	animations/Stand/BodyTalk/Listening/Listening_2, animations/Stand/Gestures/WhatSThis_8	animations/Stand/BodyTalk/Listening/Listening_2, animations/Stand/Gestures/WhatSThis_8
debate_with	animations/Stand/BodyTalk/Listening/Listening_2, animations/Stand/Gestures/WhatSThis_8, animations/Stand/Gestures/This_11	animations/Stand/BodyTalk/Listening/Listening_2, animations/Stand/Gestures/WhatSThis_8, animations/Stand/Gestures/This_11
argue_with	animations/Stand/BodyTalk/Listening/Listening_2, animations/Stand/Gestures/WhatSThis_8, animations/Stand/Gestures/This_11	animations/Stand/BodyTalk/Listening/Listening_2, animations/Stand/Gestures/WhatSThis_8, animations/Stand/Gestures/This_11
are_guarded_by		
are_defended_by		
are_protected_by		
are_shielded_by	animations/Stand/Gestures/YouKnowWhat_1	animations/Stand/Gestures/YouKnowWhat_1
are_overshadowed_by		
are_debated_by		
condescend_to	iconic_actions-4373e0/condescend	iconic_actions-4373e0/condescend
condescend	iconic_actions-4373e0/condescend	iconic_actions-4373e0/condescend
